ATM_ID,MONTO_ACTUAL
2,462000
4,84000
5,311000
6,254000
7,420000
8,261000
9,379000
10,170000
11,212000
12,413000
14,405000
15,303000
16,80000
18,219000
19,482000
20,497000
21,263000
23,192000
26,76000
27,370000
28,276000
29,469000
30,473000
31,288000
32,195000
33,135000
35,246000
36,134000
37,425000
38,139000
39,370000
40,97000
41,157000
42,95000
43,271000
44,250000
45,75000
46,96000
47,351000
48,330000
49,455000
50,366000
51,217000
52,434000
53,228000
54,79000
55,233000
56,284000
57,410000
58,289000
60,134000
61,387000
62,58000
63,108000
64,189000
65,255000
66,334000
67,347000
68,110000
69,169000
70,342000
71,102000
72,464000
73,166000
74,260000
75,317000
76,234000
77,224000
78,305000
79,353000
80,201000
81,416000
82,336000
83,91000
84,329000
85,87000
86,105000
87,78000
88,119000
89,110000
90,328000
91,204000
92,111000
93,128000
94,287000
95,147000
96,143000
97,55000
98,135000
99,350000
100,201000
101,408000
102,126000
104,254000
105,497000
106,94000
107,92000
108,271000
109,205000
110,186000
111,362000
112,323000
113,126000
114,442000
116,394000
117,100000
118,440000
119,341000
120,80000
121,150000
122,482000
123,326000
124,416000
125,301000
126,142000
127,487000
128,114000
129,106000
130,58000
131,470000
132,251000
133,82000
134,390000
135,257000
136,199000
137,388000
138,484000
139,461000
140,83000
142,299000
143,117000
144,308000
145,52000
146,195000
147,299000
148,196000
149,384000
150,162000
151,457000
152,228000
153,182000
154,223000
155,86000
156,338000
157,90000
158,266000
159,326000
160,175000
161,75000
162,239000
163,355000
164,311000
165,406000
166,458000
167,112000
168,221000
169,158000
170,484000
171,364000
172,146000
173,326000
174,399000
175,155000
176,338000
177,144000
178,115000
179,218000
180,263000
181,240000
182,412000
183,281000
184,175000
185,226000
186,84000
187,184000
188,115000
189,359000
190,211000
191,258000
192,56000
193,164000
194,165000
195,437000
196,339000
197,466000
198,224000
199,286000
200,491000
201,140000
202,73000
203,143000
204,282000
205,389000
206,409000
207,199000
208,195000
209,331000
210,143000
211,474000
212,293000
213,286000
214,371000
215,161000
216,246000
217,118000
218,54000
219,165000
220,63000
221,414000
222,218000
223,85000
224,283000
225,137000
226,148000
227,396000
228,282000
230,311000
231,432000
232,423000
233,259000
234,326000
235,463000
238,425000
239,263000
240,366000
241,366000
242,246000
243,430000
244,85000
245,397000
246,356000
247,371000
248,424000
249,350000
250,170000
251,159000
252,448000
253,79000
254,209000
255,270000
256,111000
257,54000
258,461000
259,253000
260,126000
261,118000
262,495000
263,230000
264,131000
265,301000
266,106000
267,59000
268,339000
269,259000
270,350000
271,300000
272,252000
273,429000
274,479000
276,72000
277,329000
278,155000
279,270000
280,484000
281,443000
282,329000
283,281000
284,73000
286,201000
287,267000
288,141000
289,397000
291,364000
292,489000
293,185000
294,459000
295,355000
296,133000
297,369000
298,436000
299,212000
300,468000
301,104000
302,415000
303,119000
304,345000
305,388000
306,79000
307,421000
308,167000
309,275000
310,292000
311,85000
312,111000
313,243000
314,410000
315,161000
316,274000
317,118000
318,479000
319,229000
320,375000
321,418000
322,138000
323,297000
324,469000
325,81000
326,160000
327,328000
328,283000
329,142000
330,137000
331,281000
332,325000
333,207000
334,110000
335,301000
336,91000
337,386000
338,321000
339,171000
340,79000
341,148000
342,196000
343,332000
344,450000
345,226000
346,131000
348,228000
349,160000
350,385000
351,317000
352,187000
353,211000
354,351000
355,211000
356,321000
358,296000
359,367000
360,76000
361,312000
362,362000
363,139000
364,485000
365,349000
366,370000
367,154000
368,247000
369,243000
370,452000
371,88000
372,105000
373,253000
374,411000
375,291000
376,164000
377,371000
378,211000
379,237000
380,372000
381,498000
382,384000
383,101000
384,100000
385,173000
386,440000
387,136000
388,330000
389,203000
390,227000
391,125000
392,131000
393,317000
394,80000
395,180000
396,435000
397,125000
398,218000
399,87000
401,177000
402,363000
403,222000
404,491000
405,302000
406,393000
407,148000
408,107000
409,59000
410,129000
411,268000
412,473000
413,166000
414,377000
415,465000
417,431000
418,404000
419,77000
420,407000
421,129000
422,155000
423,426000
424,86000
425,480000
426,92000
427,345000
428,436000
429,71000
430,89000
431,68000
432,388000
433,68000
434,336000
435,334000
436,485000
437,184000
438,263000
439,378000
440,388000
441,172000
442,291000
443,409000
444,71000
445,460000
446,72000
447,172000
448,375000
449,402000
450,489000
451,148000
452,379000
453,495000
454,74000
455,256000
456,109000
457,98000
458,480000
459,460000
460,366000
461,393000
462,208000
463,356000
464,64000
465,246000
466,441000
467,143000
468,295000
469,90000
470,303000
471,55000
472,341000
473,348000
474,122000
475,123000
476,363000
477,198000
478,397000
479,279000
480,499000
481,411000
482,61000
483,202000
484,439000
485,352000
486,247000
487,433000
488,408000
489,381000
490,198000
491,212000
492,484000
493,263000
494,457000
495,84000
496,240000
497,285000
498,235000
499,212000
500,145000
501,396000
502,159000
503,447000
504,209000
505,50000
506,372000
507,161000
508,397000
509,134000
510,411000
511,447000
512,460000
513,199000
514,376000
516,381000
517,269000
518,116000
519,67000
522,477000
523,66000
524,175000
525,182000
526,149000
527,313000
528,344000
529,58000
530,260000
531,53000
532,164000
533,450000
534,408000
535,332000
536,488000
537,215000
538,279000
539,168000
540,144000
541,463000
542,187000
543,478000
544,224000
545,57000
546,316000
547,278000
548,446000
549,441000
550,420000
553,110000
554,183000
555,174000
556,466000
557,67000
558,316000
559,143000
560,174000
561,195000
562,245000
563,353000
564,223000
565,85000
566,388000
567,123000
568,469000
569,92000
570,78000
571,453000
572,226000
574,357000
575,223000
576,389000
577,481000
578,208000
579,323000
580,487000
581,183000
582,73000
583,351000
584,377000
585,411000
586,344000
587,476000
588,277000
589,366000
590,350000
591,331000
592,285000
593,186000
594,350000
595,361000
596,102000
597,348000
598,240000
599,458000
600,79000
601,311000
602,106000
603,384000
604,112000
605,304000
606,121000
607,204000
608,60000
609,78000
610,206000
611,441000
612,309000
613,338000
614,109000
615,153000
616,227000
617,311000
618,177000
619,292000
620,94000
621,285000
622,479000
623,182000
624,359000
625,259000
626,456000
627,279000
628,302000
629,342000
630,301000
631,132000
632,459000
633,373000
634,271000
635,97000
636,387000
637,279000
638,183000
639,99000
640,239000
641,314000
642,357000
643,211000
644,300000
645,289000
646,326000
647,350000
648,223000
649,352000
650,93000
651,112000
652,291000
653,468000
654,59000
655,300000
656,205000
657,140000
658,403000
659,144000
660,180000
661,252000
662,464000
663,64000
664,493000
665,343000
666,116000
667,347000
668,127000
669,333000
670,457000
671,321000
672,467000
673,203000
674,418000
675,294000
676,218000
677,249000
678,63000
679,462000
680,121000
681,297000
682,494000
683,287000
684,396000
685,271000
686,167000
687,399000
688,488000
689,149000
690,189000
691,336000
692,166000
693,466000
694,234000
695,300000
696,379000
697,498000
698,157000
699,189000
700,416000
701,367000
702,161000
703,395000
704,265000
705,493000
706,283000
707,112000
708,336000
710,63000
711,499000
712,267000
713,400000
714,422000
715,221000
716,269000
717,200000
718,157000
719,204000
720,456000
721,72000
722,111000
726,253000
727,112000
728,76000
729,453000
730,370000
731,432000
732,256000
733,230000
734,208000
735,450000
736,362000
737,238000
738,83000
739,193000
740,87000
741,297000
742,74000
743,298000
744,113000
745,261000
746,419000
748,262000
749,169000
751,478000
752,428000
753,108000
754,148000
755,115000
756,317000
757,239000
758,406000
759,175000
760,96000
761,398000
763,67000
764,298000
765,179000
766,74000
767,125000
768,253000
769,238000
770,75000
771,433000
772,67000
773,458000
774,479000
775,364000
776,312000
777,57000
778,312000
779,50000
780,251000
781,346000
782,183000
783,349000
784,427000
785,379000
786,325000
787,412000
788,468000
789,265000
790,365000
791,298000
792,126000
794,163000
795,212000
796,201000
797,69000
798,156000
799,381000
800,256000
801,57000
802,430000
803,488000
804,334000
805,227000
806,484000
807,399000
808,266000
809,226000
810,321000
811,154000
812,408000
813,119000
814,72000
815,341000
816,221000
817,280000
818,172000
819,196000
820,389000
821,230000
822,285000
823,299000
824,192000
825,257000
826,287000
827,415000
828,297000
829,264000
830,53000
831,460000
832,483000
833,418000
834,116000
835,110000
836,110000
837,205000
838,423000
839,107000
840,403000
841,205000
842,73000
843,421000
844,93000
845,480000
846,325000
847,363000
848,475000
849,313000
850,236000
851,105000
852,346000
853,290000
854,153000
855,288000
856,426000
857,286000
858,436000
859,268000
860,451000
861,412000
862,81000
863,241000
864,409000
865,229000
866,203000
867,436000
868,475000
869,117000
870,407000
871,70000
873,391000
874,319000
876,401000
877,336000
878,287000
879,318000
880,94000
881,189000
882,480000
884,412000
885,307000
886,98000
887,484000
888,349000
889,230000
890,493000
891,133000
892,276000
893,220000
894,121000
895,183000
896,270000
897,183000
898,300000
899,78000
900,364000
901,152000
902,82000
903,273000
904,318000
905,254000
906,136000
907,144000
908,466000
909,149000
910,302000
911,256000
912,448000
913,457000
914,199000
915,450000
916,114000
917,488000
918,291000
919,113000
920,278000
922,193000
923,309000
924,427000
925,483000
926,148000
927,141000
928,400000
929,431000
930,410000
931,376000
932,427000
933,494000
934,142000
935,390000
936,117000
937,373000
938,142000
939,115000
940,407000
941,285000
942,410000
943,490000
944,482000
946,309000
947,186000
948,78000
949,197000
950,352000
951,346000
952,240000
953,100000
954,106000
955,201000
956,493000
957,471000
958,158000
959,356000
960,440000
961,283000
962,405000
963,227000
964,342000
965,478000
966,222000
967,241000
968,138000
969,362000
970,460000
971,367000
972,360000
973,428000
974,333000
975,303000
976,285000
977,258000
978,174000
979,290000
980,406000
981,171000
982,239000
983,198000
984,108000
985,264000
986,58000
987,158000
988,88000
989,385000
990,422000
991,96000
992,88000
993,320000
994,225000
995,224000
996,441000
997,470000
998,328000
999,353000
1000,50000
1001,215000
1002,490000
1003,431000
1004,115000
1005,495000
1006,405000
1007,335000
1008,340000
1010,144000
1011,162000
1013,167000
1014,448000
1015,482000
1016,139000
1017,140000
1018,323000
1019,239000
1020,187000
1021,433000
1022,144000
1023,136000
1024,287000
1025,347000
1026,235000
1027,105000
1028,304000
1029,421000
1030,174000
1031,361000
1032,378000
1033,468000
1034,237000
1035,444000
1036,231000
1037,390000
1038,454000
1039,329000
1040,312000
1041,231000
1042,274000
1043,107000
1044,294000
1045,216000
1046,328000
1047,381000
1048,394000
1049,142000
1050,485000
1051,306000
1052,390000
1053,401000
1054,78000
1055,218000
1056,468000
1057,367000
1058,130000
1059,320000
1060,114000
1061,256000
1062,277000
