TICKET_ID,TRABAJADOR_ID
TK000002,10
TK000046,7
TK000049,4
TK000052,9
TK000053,11
TK000054,4
TK000055,11
TK000056,10
TK000087,5
TK000099,7
TK000126,9
TK000127,1
TK000132,6
TK000133,4
TK000136,1
TK000137,0
TK000138,0
TK000139,11
TK000140,14
TK000142,11
TK000143,11
TK000144,12
TK000166,13
TK000167,8
TK000168,5
TK000169,9
TK000170,10
TK000171,6
TK000174,8
TK000175,7
TK000188,0
TK000189,14
TK000190,12
TK000191,11
TK000201,0
TK000211,0
TK000245,7
TK000251,4
TK000252,14
TK000283,5
TK000284,0
TK000285,3
TK000287,3
TK000288,1
TK000289,1
TK000292,13
TK000293,6
TK000296,8
TK000297,0
TK000307,4
TK000327,11
TK000363,2
TK000393,14
TK000403,0
TK000404,9
TK000426,5
TK000428,13
TK000438,13
TK000450,4
TK000451,3
TK000518,7
TK000519,10
TK000520,8
TK000522,10
TK000523,9
TK000525,0
TK000526,6
TK000527,8
TK000528,6
TK000529,15
TK000530,4
TK000531,12
TK000532,10
TK000535,6
TK000560,14
TK000561,15
TK000562,9
TK000565,4
TK000567,9
TK000568,13
TK000571,8
TK000576,2
TK000577,2
TK000586,12
TK000606,13
TK000608,1
TK000609,13
TK000616,1
TK000631,4
TK000634,11
TK000640,9
TK000645,0
TK000646,7
TK000652,8
TK000654,10
TK000658,4
TK000662,4
TK000674,12
TK000676,4
TK000678,12
TK000684,14
TK000687,7
TK000691,9
TK000695,1
TK000703,2
TK000730,12
TK000766,12
TK000775,8
TK000781,13
TK000805,15
TK000824,0
TK000828,6
TK000832,10
TK000869,8
TK000870,12
TK000881,1
TK000894,5
TK000911,4
TK000913,1
TK000916,2
TK000917,11
TK000918,11
TK000919,9
TK000920,9
TK000923,11
TK000927,15
TK000933,13
TK000938,14
TK000958,5
TK000963,5
TK000980,10
TK000991,1
TK000992,10
TK001003,13
TK001017,10
TK001034,5
TK001053,11
TK001069,7
TK001078,13
TK001080,7
TK001087,11
TK001088,11
TK001094,11
TK001106,12
TK001116,9
TK001124,3
TK001132,8
TK001134,7
TK001140,11
TK001146,5
TK001150,13
TK001152,7
TK001153,3
TK001158,9
TK001165,12
TK001229,8
TK001234,15
TK001236,9
TK001238,15
TK001244,9
TK001245,1
TK001264,5
TK001269,0
TK001270,15
TK001312,12
TK001324,0
TK001332,15
TK001333,4
TK001340,15
TK001342,3
TK001349,11
TK001350,14
TK001371,9
TK001382,15
TK001393,13
TK001431,13
TK001432,0
TK001436,11
TK001440,3
TK001445,7
TK001473,1
TK001474,3
TK001487,13
TK001501,1
TK001515,1
TK001517,4
TK001526,10
TK001529,5
TK001530,13
TK001533,10
TK001546,10
TK001547,6
TK001550,15
TK001559,9
TK001560,5
TK001566,13
TK001570,0
TK001581,11
TK001597,9
TK001598,2
TK001603,6
TK001606,4
TK001614,5
TK001620,9
TK001621,1
TK001622,2
TK001624,8
TK001626,7
TK001642,15
TK001647,8
TK001665,9
TK001668,15
TK001670,9
TK001673,4
TK001679,5
TK001680,0
TK001684,14
TK001685,6
TK001693,4
TK001695,9
TK001696,12
TK001704,9
TK001707,9
TK001710,1
TK001711,1
TK001725,10
TK001726,9
TK001744,2
TK001767,3
TK001772,6
TK001773,0
TK001774,12
TK001775,4
TK001779,11
TK001789,6
TK001796,14
TK001798,5
TK001801,11
TK001803,4
TK001825,12
TK001830,7
TK001839,11
TK001855,4
TK001861,14
TK001887,2
TK001893,1
TK001896,2
TK001923,2
TK001926,0
TK001929,1
TK001947,0
TK001953,2
TK001954,9
TK001958,5
TK001961,0
TK001964,13
TK001969,7
TK001975,15
TK001979,4
TK001989,14
TK002006,7
TK002027,8
TK002037,13
TK002042,10
TK002049,15
TK002051,0
TK002055,2
TK002059,14
TK002069,7
TK002081,8
TK002087,6
TK002088,8
TK002091,2
TK002093,1
TK002098,13
TK002105,1
TK002112,12
TK002114,15
TK002133,1
TK002135,8
TK002149,13
TK002153,11
TK002159,3
TK002164,8
TK002166,7
TK002177,13
TK002184,0
TK002187,7
TK002202,0
TK002205,4
TK002211,1
TK002222,0
TK002223,9
TK002228,10
TK002230,10
TK002239,12
TK002240,15
TK002248,1
TK002249,2
TK002254,12
TK002255,12
TK002270,9
TK002276,10
TK002278,3
TK002290,0
TK002304,1
TK002315,5
TK002321,4
TK002333,2
TK002347,13
TK002348,7
TK002351,6
TK002357,2
TK002365,0
TK002391,4
TK002399,13
TK002404,3
TK002412,6
TK002420,1
TK002425,10
TK002426,14
TK002446,10
TK002447,10
TK002457,2
TK002465,5
TK002466,0
TK002473,1
TK002489,15
TK002502,15
TK002505,4
TK002507,7
TK002509,6
TK002511,9
TK002512,0
TK002514,3
TK002523,12
TK002531,12
TK002535,8
TK002547,15
TK002552,4
TK002555,13
TK002558,6
TK002562,13
TK002565,2
TK002592,10
TK002598,13
TK002602,9
TK002603,12
TK002610,14
TK002621,0
TK002624,5
TK002635,10
TK002638,5
TK002651,11
TK002656,15
TK002663,8
TK002666,11
TK002670,1
TK002688,13
TK002696,10
TK002706,12
TK002716,15
TK002733,3
TK002735,15
TK002738,14
TK002740,4
TK002742,10
TK002743,5
TK002756,0
TK002758,10
TK002768,8
TK002773,2
TK002787,1
TK002791,13
TK002802,8
TK002807,6
TK002820,10
TK002828,6
TK002833,8
TK002834,13
TK002854,10
TK002857,4
TK002870,10
TK002871,12
TK002872,15
TK002873,15
TK002876,12
TK002883,4
TK002887,10
TK002912,7
TK002922,0
TK002931,13
TK002941,13
TK002942,5
TK002949,2
TK002953,7
TK002954,6
TK002955,5
TK002957,7
TK002970,2
TK002972,11
TK002973,7
TK002975,15
TK002976,5
TK002981,13
TK002982,8
TK002985,0
TK002988,9
TK003010,9
TK003031,8
TK003035,9
TK003042,12
TK003044,2
TK003050,4
TK003053,10
TK003056,2
TK003061,15
TK003069,2
TK003071,7
TK003080,3
TK003081,2
TK003093,2
TK003094,4
TK003104,15
TK003105,9
TK003112,5
TK003114,8
TK003118,4
TK003125,11
TK003128,1
TK003129,13
TK003131,14
TK003132,2
TK003137,3
TK003139,0
TK003144,5
TK003153,12
TK003163,10
TK003164,7
TK003169,1
TK003170,4
TK003173,15
TK003178,9
TK003193,5
TK003199,13
TK003200,8
TK003202,15
TK003203,0
TK003204,10
TK003207,7
TK003212,2
TK003214,8
TK003220,13
TK003221,7
TK003222,10
TK003224,8
TK003228,5
TK003237,12
TK003238,13
TK003239,5
TK003249,4
TK003251,10
TK003256,15
TK003265,0
TK003268,2
TK003270,0
TK003272,6
TK003275,9
TK003276,4
TK003278,7
TK003283,5
TK003284,2
TK003293,9
TK003298,15
TK003299,12
TK003307,15
TK003313,12
TK003316,10
TK003317,15
TK003318,13
TK003327,15
TK003329,10
TK003340,11
TK003350,10
TK003359,2
TK003362,3
TK003363,8
TK003364,3
TK003365,10
TK003366,6
TK003367,11
TK003368,8
TK003369,6
TK003370,2
TK003373,10
TK003377,14
TK003383,11
TK003388,6
TK003395,13
TK003402,6
TK003416,13
TK003427,10
TK003432,11
TK003441,10
TK003452,9
TK003455,11
TK003467,3
TK003471,0
TK003472,5
TK003473,5
TK003474,13
TK003477,3
TK003479,2
TK003481,6
TK003488,2
TK003490,1
TK003493,12
TK003498,6
TK003500,3
TK003502,10
TK003504,12
TK003512,3
TK003516,5
TK003518,1
TK003524,15
TK003528,4
TK003534,4
TK003535,4
TK003538,8
TK003541,2
TK003542,13
TK003543,1
TK003544,4
TK003545,7
TK003552,3
TK003557,13
TK003560,0
TK003569,2
TK003580,7
TK003581,15
TK003582,8
TK003591,8
TK003594,13
TK003602,9
TK003604,5
TK003605,12
TK003606,14
TK003612,8
TK003614,13
TK003616,8
TK003617,8
TK003631,1
TK003632,3
TK003638,4
TK003641,8
TK003648,11
TK003655,11
TK003659,11
TK003663,4
TK003671,10
TK003673,12
TK003676,1
TK003699,15
TK003705,0
TK003711,7
TK003727,15
TK003732,5
TK003734,5
TK003744,6
TK003747,0
TK003756,13
TK003757,0
TK003778,8
TK003782,13
TK003789,15
TK003803,6
TK003804,5
TK003806,6
TK003819,13
TK003836,10
TK003839,13
TK003845,15
TK003859,8
TK003866,0
TK003868,1
TK003883,12
TK003885,12
TK003886,6
TK003888,8
TK003902,8
TK003906,2
TK003916,15
TK003930,10
TK003939,9
TK003944,14
TK003950,2
TK003957,5
TK003959,4
TK003967,5
TK003980,3
TK003984,3
TK003996,0
TK003999,11
TK004027,8
TK004051,3
TK004060,7
TK004076,13
TK004088,14
TK004093,15
TK004097,0
TK004098,14
TK004099,10
TK004100,9
TK004101,13
TK004105,14
TK004111,9
TK004121,5
TK004122,3
TK004133,2
TK004136,11
TK004138,14
TK004144,1
TK004148,2
TK004156,9
TK004163,0
TK004168,2
TK004179,10
TK004186,6
TK004191,9
TK004193,14
TK004206,2
TK004237,13
TK004241,2
TK004258,15
TK004279,5
TK004280,12
TK004285,4
TK004287,1
TK004291,0
TK004295,3
TK004304,13
TK004322,9
TK004324,2
TK004325,1
TK004327,0
TK004328,2
TK004331,2
TK004334,13
TK004335,10
TK004352,4
TK004375,14
TK004379,9
TK004382,11
TK004384,7
TK004385,7
TK004386,15
TK004392,10
TK004398,3
TK004408,3
TK004414,2
TK004416,1
TK004430,14
TK004442,5
TK004474,5
TK004486,4
TK004500,4
TK004507,10
TK004517,5
TK004529,8
TK004534,0
TK004543,0
TK004545,8
TK004553,7
TK004560,15
TK004565,0
TK004568,12
TK004578,15
TK004582,7
TK004585,13
TK004603,12
TK004609,7
TK004646,4
TK004654,5
TK004656,10
TK004668,7
TK004675,5
TK004677,9
TK004684,4
TK004690,8
TK004692,10
TK004696,9
TK004697,10
TK004701,1
TK004708,9
TK004709,0
TK004729,4
TK004735,10
TK004738,7
TK004746,10
TK004749,1
TK004755,5
TK004758,0
TK004771,10
TK004781,10
TK004791,6
TK004794,1
TK004800,14
TK004814,12
TK004822,4
TK004828,10
TK004830,13
TK004833,1
TK004851,10
TK004854,11
TK004856,7
TK004868,3
TK004869,5
TK004870,10
TK004880,2
TK004891,10
TK004892,0
TK004906,15
TK004924,0
TK004944,9
TK004948,3
TK004957,15
TK004986,7
TK004989,10
TK005002,6
TK005003,7
TK005005,0
TK005028,12
TK005036,8
TK005045,3
TK005048,14
TK005049,0
TK005050,6
TK005064,0
TK005065,8
TK005076,14
TK005082,13
TK005092,15
TK005094,2
TK005109,7
TK005112,4
TK005120,6
TK005128,11
TK005141,4
TK005145,8
TK005152,5
TK005162,2
TK005167,14
TK005173,13
TK005188,8
TK005191,1
TK005195,5
TK005227,0
TK005229,9
TK005230,6
TK005232,6
TK005238,13
TK005240,6
TK005247,4
TK005262,13
TK005268,12
TK005275,6
TK005276,9
TK005286,10
TK005296,6
TK005301,5
TK005318,8
TK005323,11
TK005331,13
TK005332,12
TK005359,11
TK005362,6
TK005365,0
TK005369,5
TK005378,14
TK005379,11
TK005383,11
TK005392,14
TK005395,13
TK005401,11
TK005410,11
TK005416,0
TK005424,10
TK005425,0
TK005430,2
TK005432,7
TK005433,14
TK005439,15
TK005448,0
TK005450,3
TK005466,4
TK005471,12
TK005478,12
TK005480,5
TK005481,7
TK005483,9
TK005490,6
TK005493,11
TK005503,1
TK005514,6
TK005517,8
TK005524,3
TK005528,5
TK005536,0
TK005547,6
TK005548,3
TK005561,7
TK005562,2
TK005573,5
TK005574,14
TK005575,8
TK005579,6
TK005584,12
TK005591,13
TK005592,13
TK005599,13
TK005608,10
TK005611,9
TK005618,10
TK005622,14
TK005626,15
TK005653,6
TK005659,3
TK005660,12
TK005661,8
TK005663,5
TK005665,2
TK005679,8
TK005691,8
TK005702,7
TK005711,2
TK005719,9
TK005720,15
TK005721,4
TK005746,3
TK005749,12
TK005757,4
TK005758,7
TK005761,0
TK005766,4
TK005768,12
TK005770,13
TK005783,5
TK005784,9
TK005787,1
TK005794,4
TK005802,4
TK005803,9
TK005806,7
TK005810,15
TK005820,8
TK005823,11
TK005831,8
TK005837,9
TK005846,11
TK005849,12
TK005850,10
TK005862,6
TK005891,6
TK005903,14
TK005907,5
TK005911,4
TK005919,5
TK005951,8
TK005954,12
TK005958,13
TK005969,7
TK005985,3
TK006002,3
TK006008,10
TK006014,11
TK006037,7
TK006041,14
TK006044,14
TK006051,6
TK006062,15
TK006067,3
TK006086,0
TK006103,0
TK006104,2
TK006106,7
TK006108,13
TK006111,14
TK006112,8
TK006119,10
TK006120,9
TK006121,9
TK006124,9
TK006125,11
TK006136,8
TK006142,13
TK006151,7
TK006166,9
TK006176,11
TK006181,8
TK006186,12
TK006197,10
TK006202,8
TK006212,15
TK006213,7
TK006227,11
TK006231,10
TK006232,12
TK006233,15
TK006245,3
TK006256,7
TK006260,5
TK006264,8
TK006265,5
TK006270,1
TK006273,11
TK006274,15
TK006276,8
TK006294,14
TK006296,1
TK006298,7
TK006301,12
TK006304,2
TK006307,2
TK006313,3
TK006314,9
TK006317,4
TK006318,9
TK006319,15
TK006326,3
TK006329,12
TK006338,2
TK006339,14
TK006342,7
TK006350,5
TK006351,6
TK006353,8
TK006359,14
TK006369,11
TK006370,11
TK006372,7
TK006382,14
TK006388,7
