ATM,Tipo dispositivo
2,DISPENSADOR
4,DISPENSADOR
5,DISPENSADOR
6,DISPENSADOR
7,DISPENSADOR
8,PRACTDUAL
9,DISPENSADOR
10,DISPENSADOR
11,DISPENSADOR
12,DISPENSADOR
14,DISPENSADOR
15,PRACTDUAL
16,DISPENSADOR
18,DISPENSADOR
19,DISPENSADOR
20,DISPENSADOR
21,PRACTDUAL
23,DISPENSADOR
26,DISPENSADOR
27,DISPENSADOR
28,DISPENSADOR
29,DISPENSADOR
30,DISPENSADOR
31,DISPENSADOR
32,DISPENSADOR
33,DISPENSADOR
35,DISPENSADOR
36,DISPENSADOR
37,DISPENSADOR
38,DISPENSADOR
39,DISPENSADOR
40,DISPENSADOR
41,DISPENSADOR
42,DISPENSADOR
43,DISPENSADOR
44,DISPENSADOR
45,DISPENSADOR
46,DISPENSADOR
47,DISPENSADOR
48,DISPENSADOR
49,DISPENSADOR
50,DISPENSADOR
51,DISPENSADOR
52,DISPENSADOR
53,DISPENSADOR
54,DISPENSADOR
55,DISPENSADOR
56,DISPENSADOR
57,DISPENSADOR
58,DISPENSADOR
60,DISPENSADOR
61,DISPENSADOR
62,DISPENSADOR
63,DISPENSADOR
64,DISPENSADOR
65,DISPENSADOR
66,DISPENSADOR
67,DISPENSADOR
68,DISPENSADOR
69,DISPENSADOR
70,DISPENSADOR
71,PRACTDUAL
72,DISPENSADOR
73,DISPENSADOR
74,DISPENSADOR
75,DISPENSADOR
76,DISPENSADOR
77,DISPENSADOR
78,DISPENSADOR
79,DISPENSADOR
80,DISPENSADOR
81,DISPENSADOR
82,DISPENSADOR
83,DISPENSADOR
84,DISPENSADOR
85,DISPENSADOR
86,DISPENSADOR
87,DISPENSADOR
88,DISPENSADOR
89,DISPENSADOR
90,DISPENSADOR
91,DISPENSADOR
92,DISPENSADOR
93,DISPENSADOR
94,DISPENSADOR
95,DISPENSADOR
96,DISPENSADOR
97,DISPENSADOR
98,DISPENSADOR
99,DISPENSADOR
100,DISPENSADOR
101,DISPENSADOR
102,DISPENSADOR
104,DISPENSADOR
105,DISPENSADOR
106,DISPENSADOR
107,DISPENSADOR
108,DISPENSADOR
109,DISPENSADOR
110,DISPENSADOR
111,DISPENSADOR
112,DISPENSADOR
113,DISPENSADOR
114,DISPENSADOR
116,DISPENSADOR
117,DISPENSADOR
118,DISPENSADOR
119,PRACTDUAL
120,DISPENSADOR
