division,ticket_id
NORESTE,TK000001
BAJIO,TK000002
METROPOLITANA NORTE,TK000003
NORESTE,TK000004
NOROESTE,TK000005
NORESTE,TK000006
NORESTE,TK000007
NORESTE,TK000008
NORESTE,TK000009
NORESTE,TK000010
NOROESTE,TK000011
NORESTE,TK000012
NOROESTE,TK000013
NOROESTE,TK000014
SURESTE,TK000015
NOROESTE,TK000016
NORESTE,TK000017
METROPOLITANA SUR,TK000018
NOROESTE,TK000019
NORESTE,TK000020
NORESTE,TK000021
METROPOLITANA SUR,TK000022
NOROESTE,TK000023
NORESTE,TK000024
NOROESTE,TK000025
NORESTE,TK000026
NOROESTE,TK000027
SURESTE,TK000028
NOROESTE,TK000029
METROPOLITANA SUR,TK000030
METROPOLITANA SUR,TK000031
NORESTE,TK000032
NORESTE,TK000033
NORESTE,TK000034
NORESTE,TK000035
NOROESTE,TK000036
NORESTE,TK000037
NOROESTE,TK000038
NOROESTE,TK000039
SURESTE,TK000040
SURESTE,TK000041
METROPOLITANA SUR,TK000042
METROPOLITANA SUR,TK000043
NORESTE,TK000044
SURESTE,TK000045
BAJIO,TK000046
SUR,TK000047
NORESTE,TK000048
BAJIO,TK000049
SUR,TK000050
SURESTE,TK000051
BAJIO,TK000052
BAJIO,TK000053
BAJIO,TK000054
BAJIO,TK000055
BAJIO,TK000056
OCCIDENTE,TK000057
METROPOLITANA NORTE,TK000058
METROPOLITANA NORTE,TK000059
METROPOLITANA SUR,TK000060
SUR,TK000061
METROPOLITANA SUR,TK000062
OCCIDENTE,TK000063
METROPOLITANA NORTE,TK000064
METROPOLITANA NORTE,TK000065
METROPOLITANA SUR,TK000066
METROPOLITANA NORTE,TK000067
SURESTE,TK000068
SUR,TK000069
METROPOLITANA SUR,TK000070
METROPOLITANA SUR,TK000071
METROPOLITANA SUR,TK000072
METROPOLITANA SUR,TK000073
SUR,TK000074
METROPOLITANA NORTE,TK000075
SURESTE,TK000076
NORESTE,TK000077
NORESTE,TK000078
NORESTE,TK000079
NORESTE,TK000080
NORESTE,TK000081
NORESTE,TK000082
NORESTE,TK000083
NORESTE,TK000084
NORESTE,TK000085
NORESTE,TK000086
BAJIO,TK000087
OCCIDENTE,TK000088
OCCIDENTE,TK000089
SURESTE,TK000090
SURESTE,TK000091
SURESTE,TK000092
NORESTE,TK000093
NORESTE,TK000094
NORESTE,TK000095
NORESTE,TK000096
NORESTE,TK000097
NORESTE,TK000098
BAJIO,TK000099
NORESTE,TK000100
NORESTE,TK000101
OCCIDENTE,TK000102
METROPOLITANA SUR,TK000103
METROPOLITANA SUR,TK000104
NORESTE,TK000105
METROPOLITANA SUR,TK000106
METROPOLITANA SUR,TK000107
NORESTE,TK000108
METROPOLITANA SUR,TK000109
OCCIDENTE,TK000110
OCCIDENTE,TK000111
METROPOLITANA SUR,TK000112
METROPOLITANA SUR,TK000113
METROPOLITANA SUR,TK000114
METROPOLITANA SUR,TK000115
METROPOLITANA SUR,TK000116
METROPOLITANA SUR,TK000117
METROPOLITANA SUR,TK000118
METROPOLITANA SUR,TK000119
METROPOLITANA SUR,TK000120
METROPOLITANA SUR,TK000121
METROPOLITANA SUR,TK000122
METROPOLITANA SUR,TK000123
METROPOLITANA SUR,TK000124
METROPOLITANA SUR,TK000125
BAJIO,TK000126
BAJIO,TK000127
METROPOLITANA SUR,TK000128
METROPOLITANA SUR,TK000129
METROPOLITANA SUR,TK000130
METROPOLITANA SUR,TK000131
BAJIO,TK000132
BAJIO,TK000133
METROPOLITANA SUR,TK000134
METROPOLITANA SUR,TK000135
BAJIO,TK000136
BAJIO,TK000137
BAJIO,TK000138
BAJIO,TK000139
BAJIO,TK000140
NORESTE,TK000141
BAJIO,TK000142
BAJIO,TK000143
BAJIO,TK000144
OCCIDENTE,TK000145
OCCIDENTE,TK000146
OCCIDENTE,TK000147
OCCIDENTE,TK000148
METROPOLITANA SUR,TK000149
METROPOLITANA SUR,TK000150
METROPOLITANA SUR,TK000151
METROPOLITANA SUR,TK000152
METROPOLITANA SUR,TK000153
METROPOLITANA SUR,TK000154
METROPOLITANA SUR,TK000155
METROPOLITANA SUR,TK000156
METROPOLITANA SUR,TK000157
METROPOLITANA SUR,TK000158
METROPOLITANA SUR,TK000159
METROPOLITANA SUR,TK000160
METROPOLITANA SUR,TK000161
METROPOLITANA SUR,TK000162
METROPOLITANA SUR,TK000163
METROPOLITANA SUR,TK000164
METROPOLITANA SUR,TK000165
BAJIO,TK000166
BAJIO,TK000167
BAJIO,TK000168
BAJIO,TK000169
BAJIO,TK000170
BAJIO,TK000171
NORESTE,TK000172
NORESTE,TK000173
BAJIO,TK000174
BAJIO,TK000175
OCCIDENTE,TK000176
OCCIDENTE,TK000177
OCCIDENTE,TK000178
OCCIDENTE,TK000179
OCCIDENTE,TK000180
OCCIDENTE,TK000181
NORESTE,TK000182
NORESTE,TK000183
NORESTE,TK000184
NORESTE,TK000185
NORESTE,TK000186
NORESTE,TK000187
BAJIO,TK000188
BAJIO,TK000189
BAJIO,TK000190
BAJIO,TK000191
METROPOLITANA NORTE,TK000192
METROPOLITANA NORTE,TK000193
NORESTE,TK000194
NORESTE,TK000195
METROPOLITANA NORTE,TK000196
METROPOLITANA NORTE,TK000197
OCCIDENTE,TK000198
OCCIDENTE,TK000199
METROPOLITANA NORTE,TK000200
BAJIO,TK000201
METROPOLITANA NORTE,TK000202
OCCIDENTE,TK000203
METROPOLITANA NORTE,TK000204
METROPOLITANA NORTE,TK000205
METROPOLITANA NORTE,TK000206
METROPOLITANA NORTE,TK000207
METROPOLITANA NORTE,TK000208
METROPOLITANA NORTE,TK000209
METROPOLITANA NORTE,TK000210
BAJIO,TK000211
METROPOLITANA NORTE,TK000212
METROPOLITANA NORTE,TK000213
METROPOLITANA NORTE,TK000214
METROPOLITANA NORTE,TK000215
METROPOLITANA NORTE,TK000216
METROPOLITANA SUR,TK000217
METROPOLITANA NORTE,TK000218
METROPOLITANA NORTE,TK000219
METROPOLITANA SUR,TK000220
METROPOLITANA NORTE,TK000221
METROPOLITANA NORTE,TK000222
OCCIDENTE,TK000223
METROPOLITANA SUR,TK000224
METROPOLITANA SUR,TK000225
METROPOLITANA SUR,TK000226
METROPOLITANA NORTE,TK000227
METROPOLITANA SUR,TK000228
OCCIDENTE,TK000229
METROPOLITANA NORTE,TK000230
OCCIDENTE,TK000231
METROPOLITANA SUR,TK000232
METROPOLITANA SUR,TK000233
METROPOLITANA SUR,TK000234
METROPOLITANA SUR,TK000235
OCCIDENTE,TK000236
METROPOLITANA SUR,TK000237
NORESTE,TK000238
OCCIDENTE,TK000239
NORESTE,TK000240
METROPOLITANA SUR,TK000241
METROPOLITANA NORTE,TK000242
METROPOLITANA NORTE,TK000243
METROPOLITANA NORTE,TK000244
BAJIO,TK000245
NORESTE,TK000246
METROPOLITANA SUR,TK000247
NORESTE,TK000248
OCCIDENTE,TK000249
OCCIDENTE,TK000250
BAJIO,TK000251
BAJIO,TK000252
NOROESTE,TK000253
NORESTE,TK000254
NORESTE,TK000255
METROPOLITANA NORTE,TK000256
NOROESTE,TK000257
NOROESTE,TK000258
SURESTE,TK000259
NORESTE,TK000260
NOROESTE,TK000261
SURESTE,TK000262
NOROESTE,TK000263
NOROESTE,TK000264
SURESTE,TK000265
SURESTE,TK000266
SURESTE,TK000267
NOROESTE,TK000268
SURESTE,TK000269
NOROESTE,TK000270
NOROESTE,TK000271
NORESTE,TK000272
SURESTE,TK000273
NOROESTE,TK000274
NOROESTE,TK000275
SURESTE,TK000276
METROPOLITANA SUR,TK000277
METROPOLITANA SUR,TK000278
METROPOLITANA SUR,TK000279
SURESTE,TK000280
OCCIDENTE,TK000281
OCCIDENTE,TK000282
BAJIO,TK000283
BAJIO,TK000284
BAJIO,TK000285
OCCIDENTE,TK000286
BAJIO,TK000287
BAJIO,TK000288
BAJIO,TK000289
METROPOLITANA SUR,TK000290
METROPOLITANA SUR,TK000291
BAJIO,TK000292
BAJIO,TK000293
METROPOLITANA SUR,TK000294
METROPOLITANA SUR,TK000295
BAJIO,TK000296
BAJIO,TK000297
OCCIDENTE,TK000298
OCCIDENTE,TK000299
OCCIDENTE,TK000300
METROPOLITANA SUR,TK000301
OCCIDENTE,TK000302
OCCIDENTE,TK000303
METROPOLITANA SUR,TK000304
OCCIDENTE,TK000305
METROPOLITANA SUR,TK000306
BAJIO,TK000307
METROPOLITANA SUR,TK000308
SUR,TK000309
SUR,TK000310
SURESTE,TK000311
SUR,TK000312
SURESTE,TK000313
SUR,TK000314
SUR,TK000315
SUR,TK000316
SUR,TK000317
NORESTE,TK000318
METROPOLITANA SUR,TK000319
SUR,TK000320
SUR,TK000321
SUR,TK000322
SUR,TK000323
METROPOLITANA SUR,TK000324
SUR,TK000325
SUR,TK000326
BAJIO,TK000327
SUR,TK000328
SUR,TK000329
SUR,TK000330
SUR,TK000331
SUR,TK000332
SUR,TK000333
NORESTE,TK000334
NORESTE,TK000335
NORESTE,TK000336
SUR,TK000337
SUR,TK000338
SUR,TK000339
SURESTE,TK000340
SURESTE,TK000341
SUR,TK000342
SUR,TK000343
SURESTE,TK000344
SURESTE,TK000345
SUR,TK000346
SUR,TK000347
SUR,TK000348
SURESTE,TK000349
SUR,TK000350
SUR,TK000351
SURESTE,TK000352
OCCIDENTE,TK000353
OCCIDENTE,TK000354
OCCIDENTE,TK000355
OCCIDENTE,TK000356
OCCIDENTE,TK000357
OCCIDENTE,TK000358
OCCIDENTE,TK000359
OCCIDENTE,TK000360
OCCIDENTE,TK000361
OCCIDENTE,TK000362
BAJIO,TK000363
SUR,TK000364
SUR,TK000365
SUR,TK000366
SUR,TK000367
SURESTE,TK000368
SUR,TK000369
SUR,TK000370
SUR,TK000371
METROPOLITANA NORTE,TK000372
SUR,TK000373
SUR,TK000374
SUR,TK000375
METROPOLITANA NORTE,TK000376
METROPOLITANA NORTE,TK000377
METROPOLITANA NORTE,TK000378
METROPOLITANA NORTE,TK000379
SUR,TK000380
METROPOLITANA SUR,TK000381
METROPOLITANA SUR,TK000382
METROPOLITANA NORTE,TK000383
SUR,TK000384
SUR,TK000385
SUR,TK000386
METROPOLITANA NORTE,TK000387
SUR,TK000388
METROPOLITANA SUR,TK000389
OCCIDENTE,TK000390
METROPOLITANA SUR,TK000391
SUR,TK000392
BAJIO,TK000393
METROPOLITANA SUR,TK000394
OCCIDENTE,TK000395
SUR,TK000396
SUR,TK000397
SUR,TK000398
SUR,TK000399
SUR,TK000400
SUR,TK000401
SUR,TK000402
BAJIO,TK000403
BAJIO,TK000404
SUR,TK000405
SUR,TK000406
SUR,TK000407
SUR,TK000408
SUR,TK000409
METROPOLITANA NORTE,TK000410
SUR,TK000411
SUR,TK000412
METROPOLITANA NORTE,TK000413
METROPOLITANA NORTE,TK000414
METROPOLITANA NORTE,TK000415
SURESTE,TK000416
SURESTE,TK000417
METROPOLITANA NORTE,TK000418
SUR,TK000419
METROPOLITANA NORTE,TK000420
NOROESTE,TK000421
METROPOLITANA NORTE,TK000422
OCCIDENTE,TK000423
NOROESTE,TK000424
NOROESTE,TK000425
BAJIO,TK000426
NOROESTE,TK000427
BAJIO,TK000428
NOROESTE,TK000429
NOROESTE,TK000430
NOROESTE,TK000431
OCCIDENTE,TK000432
METROPOLITANA SUR,TK000433
METROPOLITANA SUR,TK000434
METROPOLITANA SUR,TK000435
OCCIDENTE,TK000436
SURESTE,TK000437
BAJIO,TK000438
NORESTE,TK000439
METROPOLITANA NORTE,TK000440
METROPOLITANA NORTE,TK000441
NORESTE,TK000442
NOROESTE,TK000443
SUR,TK000444
OCCIDENTE,TK000445
OCCIDENTE,TK000446
SUR,TK000447
METROPOLITANA NORTE,TK000448
SUR,TK000449
BAJIO,TK000450
BAJIO,TK000451
NORESTE,TK000452
SUR,TK000453
NORESTE,TK000454
NORESTE,TK000455
NORESTE,TK000456
NORESTE,TK000457
NOROESTE,TK000458
SUR,TK000459
SUR,TK000460
NOROESTE,TK000461
SUR,TK000462
NORESTE,TK000463
NORESTE,TK000464
SUR,TK000465
SUR,TK000466
NORESTE,TK000467
SUR,TK000468
NORESTE,TK000469
SURESTE,TK000470
SURESTE,TK000471
SURESTE,TK000472
OCCIDENTE,TK000473
METROPOLITANA SUR,TK000474
METROPOLITANA SUR,TK000475
METROPOLITANA SUR,TK000476
METROPOLITANA SUR,TK000477
METROPOLITANA SUR,TK000478
METROPOLITANA SUR,TK000479
METROPOLITANA SUR,TK000480
